Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident,lat,long,State
Rainy,Highway,Night,2,37,18,0,Moderate,Icy,Truck,46,21,Artificial Light,1,16.875840761630645,80.76940084283306,Andhra Pradesh
Foggy,Rural Road,Afternoon,3,103,18,0,Moderate,Wet,Truck,64,39,Daylight,1,14.95699691109097,79.39021117714633,Andhra Pradesh
Clear,Highway,Evening,3,109,14,0,Moderate,Dry,Car,43,20,Artificial Light,1,18.503994151427158,80.94233481754443,Telangana
Clear,Highway,Morning,1,102,13,0,Low,Icy,Truck,51,29,Artificial Light,0,17.884717844922115,81.42421694642802,Andhra Pradesh
Rainy,Highway,Morning,3,112,13,0,Moderate,Wet,Bike,24,6,Daylight,1,15.590935703833436,78.24637714040328,Andhra Pradesh
Clear,Rural Road,Night,1,118,1,0,Moderate,Dry,Bus,61,38,Artificial Light,1,16.904998635398318,78.09735494983673,Telangana
Rainy,City Road,Morning,3,114,8,0,Moderate,Wet,Truck,46,27,Daylight,1,14.546789032494818,78.86919751163322,Andhra Pradesh
Foggy,Rural Road,Night,3,99,14,0,Moderate,Icy,Bus,62,40,Daylight,1,16.885003610393966,80.31125404053118,Telangana
Foggy,Highway,Night,3,80,15,0,Moderate,Dry,Bike,36,17,Artificial Light,1,19.141252887016208,80.85671864277988,Telangana
Foggy,Highway,Evening,3,37,16,0,Low,Wet,Bike,19,1,Daylight,0,14.46930601423063,77.7032853780644,Andhra Pradesh
Foggy,City Road,Evening,1,60,7,0,Low,Dry,Bike,59,34,Artificial Light,0,14.920868034485878,78.4943963207277,Andhra Pradesh
Clear,City Road,Evening,3,42,9,0,Low,Icy,Bike,41,22,Daylight,0,17.019152898550097,80.61786741356062,Andhra Pradesh
Rainy,Rural Road,Morning,2,53,19,1,High,Icy,Bike,42,23,Daylight,1,14.608491708046326,78.78187549001791,Andhra Pradesh
Foggy,Highway,Evening,2,62,17,0,Low,Dry,Bus,52,31,Daylight,0,17.833694782611317,81.63059571013933,Andhra Pradesh
Clear,Highway,Afternoon,1,31,3,0,Moderate,Wet,Bus,59,36,Daylight,0,16.22029547233509,78.24816842223201,Andhra Pradesh
Rainy,City Road,Afternoon,3,65,8,0,Moderate,Icy,Car,25,7,Daylight,1,16.490394183746947,79.39845602748508,Andhra Pradesh
Rainy,Highway,Night,3,61,8,1,Moderate,Wet,Bus,61,39,Artificial Light,1,14.622521840272725,78.82641551737284,Andhra Pradesh
Clear,Rural Road,Afternoon,3,59,8,0,Low,Wet,Truck,22,0,Daylight,0,16.68983587364334,83.99612414211651,Andhra Pradesh
Rainy,City Road,Morning,3,45,12,0,Low,Icy,Truck,47,25,Daylight,0,17.139220922646235,80.71646438662958,Telangana
Rainy,Highway,Night,2,51,18,0,Moderate,Dry,Car,33,12,Artificial Light,1,16.145058177518074,79.79454508402496,Andhra Pradesh
Foggy,City Road,Morning,2,114,2,1,High,Dry,Car,28,8,Artificial Light,1,16.580701653719398,81.93917031298105,Andhra Pradesh
Rainy,Rural Road,Afternoon,3,44,5,0,Moderate,Icy,Car,59,36,Artificial Light,1,16.54485177832411,81.7614938949952,Andhra Pradesh
Rainy,City Road,Evening,3,81,14,0,Moderate,Dry,Bus,19,0,Artificial Light,1,19.01332682940847,79.86104924875784,Telangana
Rainy,Highway,Afternoon,1,83,1,1,Moderate,Wet,Car,63,38,Artificial Light,0,17.808684010985438,81.31206363108083,Andhra Pradesh
Clear,Highway,Afternoon,1,127,4,0,Low,Dry,Truck,29,4,Artificial Light,0,15.85896392889555,80.79246091625122,Telangana
Rainy,Highway,Night,3,35,11,0,Moderate,Icy,Bus,48,28,Daylight,1,18.357346647942435,80.78282233515452,Telangana
Foggy,City Road,Morning,3,85,15,1,High,Icy,Car,52,30,Daylight,1,18.174239255661305,82.66834170012706,Andhra Pradesh
Clear,Rural Road,Night,1,81,4,0,Moderate,Icy,Bike,54,33,Daylight,1,18.109920937921824,80.1356860261383,Telangana
Rainy,City Road,Evening,1,115,5,0,Moderate,Wet,Bike,44,22,Artificial Light,1,15.467341266397268,78.8361858737428,Andhra Pradesh
Foggy,Highway,Morning,1,114,18,0,Low,Dry,Bike,54,32,Artificial Light,0,15.89182541767142,78.51727575253761,Andhra Pradesh
Foggy,Highway,Night,3,55,4,1,High,Wet,Truck,52,34,Daylight,1,14.973076179229471,78.02641356371204,Andhra Pradesh
Clear,Highway,Morning,1,38,9,0,Low,Dry,Car,27,8,Artificial Light,0,18.356364196227904,83.75198832005412,Andhra Pradesh
Foggy,City Road,Night,3,115,8,0,Moderate,Dry,Truck,40,15,Daylight,1,17.55535493244339,81.24072564499451,Andhra Pradesh
Clear,Highway,Night,1,116,11,0,Moderate,Icy,Truck,52,27,Daylight,1,19.88208754894542,81.8112541669793,Telangana
Rainy,Rural Road,Night,3,112,7,0,High,Icy,Bus,22,0,Artificial Light,1,16.011035149193685,79.1447303709525,Andhra Pradesh
Foggy,Highway,Evening,1,102,2,0,Low,Icy,Car,53,30,Artificial Light,0,16.606695993977795,82.09167519893431,Andhra Pradesh
Rainy,Rural Road,Afternoon,2,50,4,0,Low,Wet,Bike,30,8,Artificial Light,0,15.69382903470921,78.35818202237148,Andhra Pradesh
Foggy,City Road,Evening,1,69,18,0,Low,Dry,Truck,31,10,Artificial Light,0,14.418392580591952,78.65082672629579,Andhra Pradesh
Clear,Rural Road,Afternoon,1,50,3,0,Low,Wet,Bus,56,38,Artificial Light,0,18.63262430385837,80.47653828769151,Telangana
Clear,City Road,Night,2,36,12,0,Low,Wet,Bike,60,42,Artificial Light,0,14.68822053362965,77.85927510797923,Andhra Pradesh
Clear,Rural Road,Night,3,79,15,0,Moderate,Dry,Bike,60,38,Daylight,1,15.498255290348595,77.91251882366525,Andhra Pradesh
Foggy,Highway,Afternoon,3,54,5,0,Low,Wet,Bike,33,8,Daylight,0,15.13792997933414,79.03584936068725,Andhra Pradesh
Foggy,City Road,Afternoon,3,118,10,0,Moderate,Wet,Bus,44,24,Artificial Light,1,14.424321071442307,77.54403319639272,Andhra Pradesh
Rainy,City Road,Afternoon,2,83,12,0,Moderate,Wet,Car,51,29,Daylight,1,15.52424356288154,79.10917101013088,Andhra Pradesh
Rainy,Rural Road,Morning,2,33,15,0,Low,Wet,Truck,52,33,Daylight,0,19.236435397453434,80.97321139367516,Telangana
Rainy,City Road,Afternoon,1,74,17,0,Low,Dry,Bike,20,0,Daylight,0,15.339837697130296,78.62353995511778,Andhra Pradesh
Rainy,City Road,Afternoon,2,48,19,0,Low,Wet,Bus,39,14,Daylight,0,17.447737519551993,77.92234790136776,Telangana
Foggy,Highway,Night,2,84,17,0,Moderate,Wet,Bus,69,51,Daylight,1,17.05402504865196,83.72457629274541,Andhra Pradesh
Rainy,Highway,Morning,1,99,4,0,Moderate,Icy,Bus,32,9,Daylight,1,17.68568036101622,81.74223631306954,Andhra Pradesh
Clear,Highway,Night,1,39,18,0,Low,Icy,Car,47,24,Artificial Light,0,16.563487530745977,81.98167300453619,Andhra Pradesh
Clear,Rural Road,Afternoon,3,75,19,0,Low,Dry,Truck,66,44,Artificial Light,0,16.146718050198675,80.05218069103866,Telangana
Rainy,Rural Road,Evening,2,64,1,0,Low,Wet,Car,63,42,Artificial Light,0,19.411989323122594,81.349699637638,Telangana
Clear,City Road,Night,2,59,7,0,Low,Wet,Truck,27,2,Artificial Light,0,14.528079578682327,79.4848927121254,Andhra Pradesh
Clear,Highway,Night,3,113,18,1,High,Dry,Car,21,2,Daylight,1,19.43298308478415,78.12427184927891,Telangana
Foggy,Rural Road,Night,3,50,10,0,Moderate,Wet,Car,54,35,Daylight,1,18.823446951659776,78.54664187995748,Telangana
Clear,Rural Road,Evening,1,114,12,0,Low,Dry,Car,67,45,Artificial Light,0,16.493094749759006,77.5690598122576,Andhra Pradesh
Clear,Highway,Night,1,90,2,0,Moderate,Icy,Car,56,33,Daylight,1,15.556576333996645,79.73878002407909,Andhra Pradesh
Clear,City Road,Morning,1,31,16,0,Low,Wet,Bike,33,8,Daylight,0,18.194775861142748,80.71837924009397,Andhra Pradesh
Rainy,Rural Road,Afternoon,3,93,19,0,Moderate,Icy,Car,37,18,Daylight,1,16.63403307550242,83.91370096717675,Andhra Pradesh
Clear,Rural Road,Afternoon,2,56,9,0,Low,Wet,Car,19,1,Artificial Light,0,19.149593019814528,81.20697287985607,Telangana
Foggy,City Road,Evening,3,118,18,0,Moderate,Dry,Bus,28,3,Artificial Light,1,19.645657448878964,77.599986384763,Telangana
Clear,Highway,Night,3,38,15,0,Moderate,Wet,Truck,35,16,Artificial Light,1,16.642069778088004,81.2377758554251,Andhra Pradesh
Foggy,Highway,Evening,3,69,6,0,Low,Dry,Bus,25,3,Artificial Light,0,17.438214422095157,81.43996758608775,Andhra Pradesh
Rainy,City Road,Afternoon,3,61,9,0,Moderate,Wet,Bus,33,15,Daylight,1,16.834982178188216,81.01546447243231,Andhra Pradesh
Rainy,City Road,Afternoon,3,88,5,0,Low,Dry,Truck,42,21,Artificial Light,0,19.78961487144042,80.76867478251683,Telangana
Rainy,City Road,Afternoon,3,89,12,1,High,Wet,Bus,61,40,Daylight,1,19.767822007605204,79.26678028658718,Telangana
